Unbelievable evening in Cincinnati, Ohio! Great new poll numbers in Ohio - THANK YOU. We are going to replace the failed leadership in Washington that has betrayed you, squandered our wealth, and sold out our country! DJT;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157886148795725/?type=3;10/13/2016 22:05:52;84290;8567;14225;75685;7491;312;608;27;167;file
I have said on numerous occasions that in a Trump Administration, the United States will recognize Jerusalem as the one true capital of Israel. The United Nations' attempt to disconnect the State of Israel from Jerusalem is a one-sided attempt to ignore Israel's 3,000-year bond to its capital city, and is further evidence of the enormous anti-Israel bias of the UN.   Jerusalem is the enduring capital of the Jewish People and the overwhelming majority of Congress has voted to recognize Jerusalem as just that.   Further, the decision by the Obama Administration to strike the word 'Israel' after the word 'Jerusalem' in the President's prepared text was a capitulation to Israel's enemies, and a posthumous embarrassment to Shimon Peres, whose memory the President was attempting to honor.   In a Trump Administration, Israel will have a true, loyal and lasting friend in the United States of America.  Donald J. Trump;;status;;10/13/2016 21:25:28;122815;7456;22806;109071;12513;584;191;62;394;file
Democratic Governor of Minnesota just announced that the Affordable Care Act (Obamacare) is no longer affordable. I've been saying this for years- disaster!;;status;;10/13/2016 17:45:41;94893;5843;7359;89048;3018;321;2041;105;360;file
The corrupt establishment knows that we are a great threat to their criminal enterprise. We will NOT let them decide our future – YOU, the American people will decide OUR future!;;video;https://www.facebook.com/DonaldTrump/videos/10157883775960725/;10/13/2016 14:32:16;80495;6262;19643;73959;5883;234;209;8;202;file
This is a struggle for the survival of OUR nation, and this will be our last chance to save it. We MUST raise our voices on November 8th!;;video;https://www.facebook.com/DonaldTrump/videos/10157883752215725/;10/13/2016 14:29:28;59235;3755;8376;54617;4204;79;196;19;120;file
THANK YOU West Palm Beach, Florida! We will MAKE AMERICA SAFE AND GREAT AGAIN!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157883386900725/?type=3;10/13/2016 13:24:21;32500;3131;1680;29419;2783;62;82;7;147;file
Thank you to our U.S. Navy for protecting our country, both in times of peace and war. I am grateful for the service and sacrifice of our incredible sailors. Together, we will Make America Strong Again! #AmericaFirst;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157882204750725/?type=3;10/13/2016 9:44:59;75336;5284;10022;69017;6041;60;140;9;69;file
The MOVEMENT in Lakeland, Florida. Voter registration extended to 10/18. REGISTER ASAP @ VOTE.GOP & get out to VOTE on 11/8! -DJT;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157877535765725/?type=3;10/12/16 16:40;31733;10524;3230;28277;2816;465;87;9;79;file
The people of Cuba have struggled too long. Will reverse Obama's Executive Orders and concessions towards Cuba until freedoms are restored.;;status;;10/12/16 14:49;38408;4907;2326;35626;2221;89;317;19;136;file
Join me in Ocala, Florida for a few minutes- look at this amazing MOVEMENT! Remember- this is our LAST CHANCE to take back our country -- it is time to MAKE AMERICA SAFE AND GREAT AGAIN!!;;video;https://www.facebook.com/DonaldTrump/videos/10157876499595725/;10/12/16 12:53;130167;51868;20018;100601;25924;861;874;188;1719;file
Hillary Clinton is CORRUPT! Crooked only cares about power, money and herself. I am in this for YOU! #AmericaFirst;;video;https://www.facebook.com/DonaldTrump/videos/10157875241520725/;10/12/16 10:00;71259;8918;29543;64177;3712;292;373;110;2595;file
Crooked Hillary Clinton likes to talk about the things she will do but she has been there for 30 years - why didn't she do them?;;status;;10/12/16 8:42;103932;9467;8912;96493;3890;175;2953;52;369;file
JOIN ME FOR A FEW MINUTES IN PANAMA CITY BEACH, FLORIDA. This is a MOVEMENT like never seen before- and will never be seen again. This is our last chance- lets MAKE AMERICA SAFE AND GREAT AGAIN!;;video;https://www.facebook.com/DonaldTrump/videos/10157872422940725/;10/11/16 20:46;151302;49991;27764;115545;31739;1646;1013;198;1161;file
I would like to wish everyone who is observing the solemn and holy day of Yom Kippur an inspirational day of reflection. We hope that everyone's prayers are answered and that we all have a year of peace, security, good health, prosperity and blessings.  -DJT;;status;;10/11/16 18:15;96506;6255;5250;88940;6977;72;379;15;123;file
Great morning in San Antonio, Texas - GREAT afternoon in Dallas, Texas. Departing now for Florida! #ImWithYou;;video;https://www.facebook.com/DonaldTrump/videos/10157871705150725/;10/11/16 17:24;155092;49715;14795;122620;29272;776;881;146;1397;file
THANK YOU TEXAS --- AND THANK YOU TO OUR LAW ENFORCEMENT OFFICERS. #ImWithYou #AmericaFirst;;video;https://www.facebook.com/DonaldTrump/videos/10157871679280725/;10/11/16 17:18;89272;3914;11244;81766;6951;123;248;15;169;file
Wow. Unbelievable.;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157871008445725/?type=3;10/11/16 15:06;54897;7593;21993;39068;378;5010;393;167;9881;file
DON'T LET HER FOOL US AGAIN. #DangerousHillary;;video;https://www.facebook.com/DonaldTrump/videos/10157868961650725/;10/11/16 10:38;78558;8719;34581;71483;4665;315;1338;81;676;file
Despite winning the second debate in a landslide (every poll), it is hard to do well when Paul Ryan and others give zero support!;;status;;10/11/16 8:55;138552;33620;5414;116067;2996;428;1549;1885;15627;file
The mainstream media (MSM) are trying to rig this election in order to advance their liberal, far left agenda for another 4 years and beyond.  Crooked Hillary Clinton has been the mouthpiece for the corrupt Washington DC system that the MSM keeps alive through direct propaganda and support.  It is time we bring CHANGE to the White House, defeat the rigged system, and Make America Great Again!;;video;https://www.facebook.com/DonaldTrump/videos/10157864060150725/;10/11/16 7:00;83715;11581;53129;70767;2251;1312;435;380;8570;file
Thank you Pennsylvania. This is a MOVEMENT like we have never seen before! Get out and VOTE on 11/8/16- together, we will #MAGA!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157866480680725/?type=3;10/10/16 20:34;89566;8074;12340;80234;7252;1708;198;19;155;file
A big thank you to these incredible women for their support! I have the BEST supporters and believe me, if I'm elected, I will ALWAYS be your voice.;BBC News;video;https://www.facebook.com/bbcnews/videos/10153989675417217/;10/10/16 18:14;75391;6081;3;68277;6263;146;503;28;174;file
Stopped by Smiley Cookie to pick up some great cookies for the family, along with Rudy.;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157865258150725/?type=3;10/10/16 16:38;52165;4198;2188;48233;3366;64;366;15;121;file
Just arrived in Pennsylvania!;;video;https://www.facebook.com/DonaldTrump/videos/10157864349215725/;10/10/16 14:57;206998;106547;20079;152829;46499;1199;2299;493;3679;file
Debate polls look great - THANK YOU, AMERICA!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157864073435725/?type=3;10/10/16 14:25;103312;7658;27739;91924;9075;484;1584;34;211;file
Paul Ryan should spend more time on balancing the budget, jobs and illegal immigration and not waste his time on fighting Republican nominee.;;status;;10/10/16 12:28;156773;13857;8541;145504;7192;216;3375;39;447;file
Thank you Rudy! -DJT;;video;https://www.facebook.com/DonaldTrump/videos/10157862290285725/;10/10/16 11:19;77069;5253;11997;70229;6005;104;577;12;142;file
Frank Luntz: Tonight Was So Significant That Trump 'Is Back in This Race';Frank Luntz: Tonight Was So Significant That Trump 'Is Back in This Race' - Breitbart;link;http://www.breitbart.com/video/2016/10/09/frank-luntz-tonight-was-so-significant-that-trump-is-back-in-this-race/;10/10/16 7:29;65271;8226;4863;59361;4943;126;737;16;88;file
Thank you St. Louis, Missouri!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858484545725/?type=3;10/9/16 22:41;178796;16200;8497;163264;14069;141;878;46;398;file
All of the moderator interruptions--it was 3 vs 1! https://www.donaldjtrump.com/content-center/entry/heres-video-of-every-time-the-moderators-interrupted-donald-trump/;Moderator Interruptions;video;https://www.facebook.com/DonaldTrump/videos/10157858333510725/;10/9/16 22:20;126536;18716;22685;107344;3518;850;1349;397;13078;file
Even the Rigged Mainstream Media Says Donald Trump Won The Debate. Here's The Proof.;Even the Rigged Mainstream Media Says Donald Trump Won The Debate. Here's The Proof.;link;https://www.donaldjtrump.com/content-center/entry/even-the-rigged-mainstream-media-says-donald-trump-won-the-debate.-heres-th/;10/9/16 22:19;131492;7706;9016;119936;8939;252;2158;24;183;file
Donald Trump's Top 5 Moments from the Presidential Debate;Donald Trump's Top 5 Moments from the Presidential Debate;link;https://www.donaldjtrump.com/content-center/entry/donald-trumps-top-5-moments-from-the-presidential-debate/;10/9/16 22:07;46089;3971;3000;41381;4089;61;464;9;85;file
Thank you Mark Levin!;Mark Levin;link;https://www.facebook.com/marklevinshow/posts/10154584361988832;10/9/16 22:06;111346;4466;4;103657;6354;113;1078;18;126;file
"""It's a good thing Trump isn't in charge of the law in this country."" -Hillary Clinton  ""Yeah, because you'd be in jail."" -Donald Trump";Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858245535725/?type=3;10/9/16 21:57;466107;23243;120570;384027;47091;799;32943;89;1158;file
Once again, the media shows its true colors -- I was supposed to be debating #CrookedHillary, NOT Martha, NOT Anderson, #CrookedHillary. We STILL won -- BIG LEAGUE!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858141955725/?type=3;10/9/16 21:40;281140;31460;67876;254920;13542;665;2624;384;9005;file
I will be a President for ALL! #MakeAmericaGreatAgain;Deplorables;video;https://www.facebook.com/DonaldTrump/videos/10157858073385725/;10/9/16 21:36;134770;7854;11330;122298;10708;139;1229;33;363;file
#CrookedHillary wants to KILL the coal companies! We must PROTECT our coal companies!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858119390725/?type=3;10/9/16 21:33;20232;1748;9018;16211;550;162;92;166;3051;file
"#CrookedHillary wants to ""change the balance on the Supreme Court."" 2nd Amendment supporters know what that means...";Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858092345725/?type=3;10/9/16 21:28;15125;1510;2998;12704;346;82;62;40;1891;file
#CrookedHillary has been a Washington, DC insider for 30 years! We need a change and I will be the one to #MakeAmericaGreatAgain and fight for YOU, not the insiders!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157858035250725/?type=3;10/9/16 21:25;15154;1354;2101;13586;694;47;57;25;745;file
We cannot afford four more years of these FAILED policies!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857977945725/?type=3;10/9/16 21:12;37872;2351;7240;34221;1188;129;94;100;2140;file
#CrookedHillary is going to RAISE taxes, I will LOWER them!;Lowering Taxes;video;https://www.facebook.com/DonaldTrump/videos/10157857950550725/;10/9/16 21:09;24813;2486;3300;22656;1735;38;266;8;110;file
History lesson: #CrookedHillary blames her two-faced stance on Wall Street on — get this — Abraham Lincoln!;Honest Abe vs. Hillary Clinton;video;https://www.facebook.com/DonaldTrump/videos/10157857926070725/;10/9/16 21:04;24084;2167;5869;19347;1387;146;3032;21;151;file
History lesson: There's a big difference between Hillary Clinton and Abraham Lincoln. For one, his nickname is Honest Abe.;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857931125725/?type=3;10/9/16 21:01;256651;9091;79146;221855;13154;400;20462;70;710;file
"I hope when the MSM runs its ""interruption counters"" they consider the number of times the moderators interrupted me compared to #CrookedHillary!";Trump vs. Moderators;video;https://www.facebook.com/DonaldTrump/videos/10157857838115725/;10/9/16 20:51;27135;3780;2650;24552;1161;64;191;35;1132;file
I stand for ALL Americans and we will #MakeAmericaSafeAgain and defeat radical Islamic terrorism!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857798770725/?type=3;10/9/16 20:45;80325;2630;8265;74323;5442;82;332;4;142;file
There has never been so many lies and so much deception. A special prosecutor will look into #CrookedHillary!;Special Prosecutor;video;https://www.facebook.com/DonaldTrump/videos/10157857765735725/;10/9/16 20:41;47837;4629;17126;41854;4801;117;936;12;117;file
Because #CrookedHillary would be in JAIL!;Hillary Clinton Would Be In Jail;video;https://www.facebook.com/DonaldTrump/videos/10157857732765725/;10/9/16 20:33;430709;57782;656153;336958;42742;1447;48391;121;1050;file
If I win- I am going to instruct my AG to get a special prosecutor to look into your situation bc there's never been anything like your lies.;;status;;10/9/16 20:28;200793;9073;13674;178363;17424;354;4383;26;243;file
I am running for YOU. I am running to #MakeAmericaGreatAgain because AMERICANS have had ENOUGH!;Why I Ran;video;https://www.facebook.com/DonaldTrump/videos/10157857664810725/;10/9/16 20:23;120784;7852;7776;110226;9419;102;369;27;641;file
Unlike #CrookedHillary, I will SAVE American jobs and SAVE Americans' futures! #MakeAmericaGreatAgain;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857638935725/?type=3;10/9/16 20:22;17613;1002;1665;15878;1546;15;69;1;104;file
TIME TO MAKE AMERICA GREAT AGAIN!;Instagram video by Donald J. Trump • Oct 10, 2016 at 1:18am UTC;video;https://instagram.com/p/BLXRt1XDyjB/;10/9/16 20:19;12957;641;367;11838;997;16;69;1;36;file
My plan begins at home. I will #MakeAmericaSafeAgain!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857601245725/?type=3;10/9/16 20:13;101832;3069;12477;94666;6687;51;337;9;82;file
I AM WITH YOU!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857553580725/?type=3;10/9/16 20:08;100638;2211;14675;92639;7275;82;545;6;91;file
I am ready to fight for YOU, America! Let's #MakeAmericaGreatAgain!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157857495330725/?type=3;10/9/16 20:00;61853;2093;6539;57126;4390;42;224;5;66;file
Join Newt Gingrich via Facebook Live! -DJT;Newt Gingrich;video;https://www.facebook.com/newtgingrich/videos/10154556135739197/;10/9/16 19:57;13450;1126;1;12479;825;42;72;3;29;file
Join me in St. Louis, Missouri - as I conclude my debate prep.;;video;https://www.facebook.com/DonaldTrump/videos/10157857037430725/;10/9/16 18:25;146684;72351;46208;106435;32535;1168;1762;723;4061;file
The Palestinian terror attack today reminds the world of the grievous perils facing Israeli citizens. In a split second today, the streets of Jerusalem, Israel turned calamitous, shattered by gunfire as a Palestinian motorist trained his sights on Jews, killing two and wounding six others.   It marks yet another in a string of terrorist incidents targeting Israeli civilians in 2016. Palestinian Authority President Mahmoud Abbas' recent attendance at the funeral of Shimon Peres, the late Israeli president and prime minister, should have marked a new chapter in Israeli-Palestinian relations. Instead, the streets of Jerusalem tragically flow once more with the blood of innocents.   Our thoughts and prayers go out to the survivors and the families of the victims. We must work to defeat terror once and for all. I wish everyone in Israel and the Jewish community around the world a meaningful Yom Kippur and peace.   Donald J. Trump;;status;;10/9/16 17:18;43790;4046;5447;35426;864;145;65;5468;1822;file
Clinton News Network Telegraphs Its Anti-Trump Strategy for Tonight's Rigged Presidential Debate:;CNN: First Debate Question Will Go to Hillary About Leaked Trump Tape;link;http://trib.al/ByMM0rx;10/9/16 15:30;56745;18974;12502;38138;424;974;2591;406;14212;file
In the debate hall - at Washington University in St. Louis - doing a walk thru with my team -- and the Presidential Debate Commission. Thank you for all of your support! -DJT;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157855155995725/?type=3;10/9/16 15:23;67466;10631;2510;62183;4909;60;219;9;86;file
EXCLUSIVE VIDEO: BROADDRICK, WILLEY, JONES TO BILL CLINTON'S DEFENDERS: 'THESE ARE CRIMES,' 'TERRIFIED' OF 'ENABLER' HILLARY CLINTON:;Exclusive Video–Broaddrick, Willey, Jones to Bill Clinton's Defenders: 'These Are Crimes,' 'Terrified' of 'Enabler' Hillary;link;http://trib.al/r8sn0xj;10/9/16 13:43;36574;4380;12159;31045;498;1723;163;559;2586;file
So many self-righteous hypocrites. Watch their poll numbers - and elections - go down!;;status;;10/9/16 10:47;111289;13784;4863;103587;5508;123;1755;69;247;file
Departing New York City for St. Louis now. Your support has been amazing - thank you. TOGETHER, WE are going to MAKE AMERICA SAFE AND GREAT AGAIN! -DJT;;status;;10/9/16 10:40;88438;8797;2237;81237;6586;70;413;17;115;file
EXCLUSIVE — Video Interview: Bill Clinton Accuser Juanita Broaddrick Relives Brutal Rapes:;EXCLUSIVE — Video Interview: Bill Clinton Accuser Juanita Broaddrick Relives Brutal Rapes - Breitbart;link;http://www.breitbart.com/2016-presidential-race/2016/10/09/breitbart-news-exclusive-video-interview-bill-clinton-accuser-juanita-broaddrick-breaks-describing-brutal-rapes/;10/9/16 8:17;59855;8280;29439;40910;351;1409;274;8568;8343;file
"Tremendous support (except for some Republican ""leadership""). Thank you.";;status;;10/9/16 8:13;174517;18628;4697;160873;10831;147;2222;97;347;file
Thank you to my amazing supporters outside of Trump Tower this afternoon. #ImWithYou;;video;https://www.facebook.com/DonaldTrump/videos/10157849870775725/;10/8/16 19:49;151765;17029;19758;136375;13531;302;967;72;518;file
The media and establishment want me out of the race so badly -  I WILL NEVER DROP OUT OF THE RACE, WILL NEVER LET MY SUPPORTERS DOWN!;;status;;10/8/16 14:52;340045;40168;21393;303337;31367;354;3649;287;1051;file
Here is my statement.  I've never said I'm a perfect person, nor pretended to be someone that I'm not.  I've said and done things I regret, and the words released today on this more than a decade-old video are one of them.  Anyone who knows me, know these words don't reflect who I am.  I said it, it was wrong, and I apologize.  I've travelled the country talking about change for America. But my travels have also changed me.  I've spent time with grieving mothers who've lost their children, laid off workers whose jobs have gone to other countries, and people from all walks of life who just want a better future. I have gotten to know the great people of our country, and I've been humbled by the faith they've placed in me. I pledge to be a better man tomorrow, and will never, ever let you down. Let's be honest.  We're living in the real world.  This is nothing more than a distraction from the important issues we are facing today.  We are losing our jobs, we are less safe than we were 8 years ago and Washington is broken. Hillary Clinton, and her kind, have run our country into the ground.  I've said some foolish things, but there is a big difference between words and actions. Bill Clinton has actually abused women and Hillary has bullied, attacked, shamed and intimidated his victims. We will discuss this more in the coming days.  See you at the debate on Sunday.;;video;https://www.facebook.com/DonaldTrump/videos/10157844642270725/;10/7/16 23:06;491710;126224;374912;429381;43813;1426;10122;556;6412;file
My team and I continue to have our thoughts & prayers with everyone effected by Hurricane Matthew. Check in on your family, friends, and neighbors -- and listen to local officials.;;status;;10/7/16 18:11;49733;8761;1858;45647;3174;22;85;669;136;file
The spirit is amazing --- thank you to this homeowner in Florida for their support.;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157842450105725/?type=3;10/7/16 14:46;132641;7443;6966;121740;8412;339;1632;66;452;file
"Crooked's performance as Secretary of State was even worse than Tim Kaine's performance in the debate! No more ""DREAM DEALS"" for our enemies. Believe me -- we WILL be TOUGH. #BigLeagueTruth";;video;https://www.facebook.com/DonaldTrump/videos/10157830641980725/;10/7/16 12:30;27473;4120;4874;24710;1211;205;802;60;485;file
#FlashbackFriday Senator Tim Kaine squirms when asked if he'd endorse Hillary Clinton;Flashback: Kaine squirms when asked if he'd endorse Hillary Clinton;link;http://www.washingtonexaminer.com/article/2603837/;10/7/16 10:31;34755;3431;6779;26142;635;386;7472;15;105;file
This is an incredible MOVEMENT - On November 8th, we have one magnificent chance to take our country BACK! We WILL #MakeAmericaGreatAgain! #ImWithYou;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157811628685725/?type=3;10/7/16 8:54;36325;3180;3932;33008;2982;48;186;6;95;file
Thoughts & prayers with the millions of people in the path of Hurricane Matthew. Look out for neighbors, and listen to your local officials.;;video;https://www.facebook.com/DonaldTrump/videos/10157838929940725/;10/6/16 22:05;67559;4284;8109;61474;4230;74;61;1614;106;file
We're going to have a country that makes products again...these great companies are going to make their products in OUR country. #TrumpNHTownHall;;status;;10/6/16 19:28;50603;4053;2232;47042;3175;51;238;16;81;file
If it weren't for our GREAT VETERANS---- we wouldn't be here right now!! #TrumpNHTownHall;;status;;10/6/16 19:27;45733;2063;2090;42303;3224;40;106;8;52;file
My son Eric & his wife Lara campaigning up in Maine - to MAKE AMERICA GREAT AGAIN! Thank you Eric, Lara, and MAINE!;Instagram photo by Donald J. Trump • Oct 6, 2016 at 10:21pm UTC;link;https://instagram.com/p/BLPPCFyjbY5/;10/6/16 17:28;26460;1872;817;24290;1984;32;94;11;49;file
My son Donald Trump Jr. campaigning in OHIO! Thank you Don -- and OHIO!!;Instagram photo by Donald J. Trump • Oct 6, 2016 at 10:19pm UTC;link;https://instagram.com/p/BLPOyqHDPnD/;10/6/16 17:24;38189;1666;1027;35335;2603;55;104;12;80;file
VOTE #TrumpPence16 on 11/8/16!;;video;https://www.facebook.com/DonaldTrump/videos/10157837751560725/;10/6/16 16:52;37638;2025;3104;34681;2579;45;194;14;125;file
Ivanka out in Ohio today! I am so grateful for my families support -- in wanting to MAKE AMERICA GREAT AGAIN, with all of you --- the AMERICAN PEOPLE! -DJT;Instagram photo by Donald J. Trump • Oct 6, 2016 at 8:58pm UTC;link;https://instagram.com/p/BLPFhh_jT3F/;10/6/16 16:00;34004;1660;1222;31434;2379;42;103;7;39;file
Thank you Missouri - my team just shared with me! LETS MAKE AMERICA SAFE & GREAT AGAIN! -DJT;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157837264125725/?type=3;10/6/16 15:55;149431;4157;24658;138809;8674;241;1262;68;377;file
Wow – my #BigLeagueTruth team did an incredible job spreading the TRUTH about Crooked Hillary on Tuesday! We only have 3 DAYS until the next debate. Sign up for #BigLeagueTruth so we can fact check Hillary and take down the rigged system! bigleaguetruth.com.   http://dailycaller.com/2016/10/06/exclusive-trumps-bigleaguetruth-twitter-reach-was-insanely-successful/;;status;;10/6/16 12:17;17771;2320;867;16375;1188;32;134;7;35;file
I want to see America PROSPEROUS again – that means tax cuts for working families, and lower taxes for small businesses so owners can create more jobs! America will WIN – everyone will succeed and we will have a strong, thriving economy once again! #ImWithYou;;video;https://www.facebook.com/DonaldTrump/videos/10157834512940725/;10/6/16 10:00;44677;3055;19842;40999;3337;152;98;14;77;file
Nation's Immigration And Customs Enforcement Officers (ICE) Make First-Ever Presidential Endorsement:;SHOW YOUR SUPPORT FOR DONALD TRUMP;link;http://bit.ly/2dMMzucICE;10/6/16 9:00;28823;2065;2296;26415;2111;125;71;7;94;file
WE have taken the lead in Virginia! Thank you for your unbelievable support. This is OUR last chance - to take back our country -- and MAKE IT SAFE & GREAT AGAIN! -DJT;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157833200340725/?type=3;10/6/16 8:00;61746;3072;7850;56250;4739;403;186;28;140;file
25,000 Parents, Children In New York March For Charter Schools:  School choice is the great civil rights issue of our time. I am committed to providing every low-income child in America with the ability to choose the private, public, charter, magnet or religious school that is best for them and their families. My opponent wants to keep children trapped in failing government schools. This is one of the very biggest differences in this race! -DJT;Up with charters;link;http://www.nydailynews.com/opinion/charters-article-1.2813595;10/6/16 7:00;15514;1173;1928;14220;1148;97;20;3;26;file
NEW Pennsylvania poll out - - thank you! See you on Monday for two rallies, PA. Tickets available at www.DonaldJTrump.com - under 'schedule.' -DJT;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157833197265725/?type=3;10/6/16 6:00;50883;2746;5553;46488;3822;337;147;13;76;file
Amazing rally in Reno, Nevada- thank you. Make sure you get out on 11/8 & VOTE #TrumpPence16. Together, we will put AMERICA FIRST - and MAKE AMERICA GREAT AGAIN!;Timeline Photos;photo;https://www.facebook.com/DonaldTrump/photos/a.488852220724.393301.153080620724/10157832036315725/?type=3;10/5/16 20:23;21748;2209;1241;19776;1771;64;82;4;51;file
NOW IN RENO, NEVADA with the MOVEMENT! Join us for a couple of minutes!;;video;https://www.facebook.com/DonaldTrump/videos/10157831722235725/;10/5/16 18:45;73281;23843;7131;57445;14122;424;499;81;710;file
Job numbers today--- terrible! So what else is new?;;status;;7/6/12 15:11;1338;382;90;1338;0;0;0;0;0;kbrd
You guys and gals are amazing- such great energy! Thanks!;;status;;8/2/12 9:30;1498;262;34;1498;0;0;0;0;0;kbrd
